1, 1, 0.8309325246398787
1, 2, 0.8354814253222138
1, 3, 0.8362395754359363
1, 4, 0.8392721758908264
1, 5, 0.8400303260045489
1, 6, 0.8400303260045489
1, 7, 0.8407884761182715
1, 8, 0.8415466262319939
1, 9, 0.8430629264594389
1, 10, 0.8430629264594389
1, 11, 0.844579226686884
1, 12, 0.8453373768006065
1, 13, 0.846095526914329
1, 14, 0.846095526914329
1, 15, 0.846095526914329
1, 16, 0.846095526914329
1, 17, 0.846095526914329
1, 18, 0.846095526914329
1, 19, 0.846095526914329
1, 20, 0.846095526914329
1, 21, 0.8468536770280516
1, 22, 0.8476118271417741
1, 23, 0.8476118271417741
1, 24, 0.8476118271417741
1, 25, 0.8476118271417741
1, 26, 0.8476118271417741
1, 27, 0.8476118271417741
1, 28, 0.8476118271417741
1, 29, 0.8483699772554966
1, 30, 0.8483699772554966
1, 31, 0.8483699772554966
1, 32, 0.849128127369219
1, 33, 0.8506444275966641
1, 34, 0.8506444275966641
1, 35, 0.8506444275966641
1, 36, 0.8506444275966641
1, 37, 0.8506444275966641
1, 38, 0.8506444275966641
1, 39, 0.8506444275966641
1, 40, 0.8514025777103866
2, 1, 0.8908263836239575
2, 2, 0.8938589840788476
2, 3, 0.8946171341925702
2, 4, 0.8961334344200151
2, 5, 0.8961334344200151
2, 6, 0.8961334344200151
2, 7, 0.8968915845337376
2, 8, 0.8984078847611827
2, 9, 0.8991660348749052
2, 10, 0.8991660348749052
2, 11, 0.9014404852160728
2, 12, 0.9021986353297953
2, 13, 0.9037149355572404
2, 14, 0.9037149355572404
2, 15, 0.9037149355572404
2, 16, 0.9037149355572404
2, 17, 0.9037149355572404
2, 18, 0.9037149355572404
2, 19, 0.9037149355572404
2, 20, 0.9037149355572404
2, 21, 0.9044730856709629
2, 22, 0.9044730856709629
2, 23, 0.9044730856709629
2, 24, 0.9044730856709629
2, 25, 0.9044730856709629
2, 26, 0.9044730856709629
2, 27, 0.9044730856709629
2, 28, 0.9044730856709629
2, 29, 0.9052312357846853
2, 30, 0.9052312357846853
2, 31, 0.9052312357846853
2, 32, 0.9052312357846853
2, 33, 0.9052312357846853
2, 34, 0.9052312357846853
2, 35, 0.9052312357846853
2, 36, 0.9052312357846853
2, 37, 0.9052312357846853
2, 38, 0.9052312357846853
2, 39, 0.9052312357846853
2, 40, 0.9052312357846853
3, 1, 0.9112964366944655
3, 2, 0.913570887035633
3, 3, 0.9150871872630781
3, 4, 0.9166034874905231
3, 5, 0.9166034874905231
3, 6, 0.9166034874905231
3, 7, 0.9173616376042456
3, 8, 0.9181197877179682
3, 9, 0.9188779378316907
3, 10, 0.9188779378316907
3, 11, 0.9203942380591357
3, 12, 0.9203942380591357
3, 13, 0.9219105382865808
3, 14, 0.9219105382865808
3, 15, 0.9219105382865808
3, 16, 0.9219105382865808
3, 17, 0.9219105382865808
3, 18, 0.9219105382865808
3, 19, 0.9219105382865808
3, 20, 0.9219105382865808
3, 21, 0.9226686884003032
3, 22, 0.9226686884003032
3, 23, 0.9226686884003032
3, 24, 0.9226686884003032
3, 25, 0.9226686884003032
3, 26, 0.9226686884003032
3, 27, 0.9226686884003032
3, 28, 0.9226686884003032
3, 29, 0.9234268385140257
3, 30, 0.9234268385140257
3, 31, 0.9234268385140257
3, 32, 0.9234268385140257
3, 33, 0.9234268385140257
3, 34, 0.9234268385140257
3, 35, 0.9234268385140257
3, 36, 0.9234268385140257
3, 37, 0.9241849886277483
3, 38, 0.9241849886277483
3, 39, 0.9241849886277483
3, 40, 0.9241849886277483
4, 1, 0.9249431387414708
4, 2, 0.9257012888551933
4, 3, 0.9272175890826384
4, 4, 0.9279757391963609
4, 5, 0.9279757391963609
4, 6, 0.9279757391963609
4, 7, 0.9287338893100834
4, 8, 0.9302501895375285
4, 9, 0.931008339651251
4, 10, 0.931008339651251
4, 11, 0.9325246398786959
