1, 2.3689017095197054
2, 2.736051113882058
1, 2.3967977023124694
2, 2.592089409828186
3, 2.827222545146942
4, 3.0728992438316345
5, 3.929889369010925
6, 3.32242858171463
7, 4.026857035160065
8, 3.4598655557632445
9, 3.423478696346283
10, 3.746274275779724
11, 5.098493840694427
12, 3.800532319545746
13, 4.438995597362518
14, 3.98224112033844
15, 4.071857271194458
16, 4.070005156993866
17, 4.061548299789429
18, 4.245601577758789
19, 5.064516661167144
20, 4.345789346694946
1, 2.433329927921295
1, 2.4236058950424195
